Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
19:45:00,1.110471E+05,3.683260E+04,5.730650E+00,3.609580E+00
20:00:00,1.110559E+05,3.525831E+04,5.731010E+00,3.455288E+00
20:15:00,1.110620E+05,3.397504E+04,5.731265E+00,3.329525E+00
20:30:00,1.110663E+05,3.284124E+04,5.731454E+00,3.218414E+00
20:45:00,1.110695E+05,3.179683E+04,5.731599E+00,3.116065E+00
21:00:00,1.110719E+05,3.082171E+04,5.731712E+00,3.020507E+00
21:15:00,1.110738E+05,2.987748E+04,5.731802E+00,2.927975E+00
21:30:00,1.110753E+05,2.895662E+04,5.731875E+00,2.837731E+00
21:45:00,1.110765E+05,2.805712E+04,5.731934E+00,2.749582E+00
22:00:00,1.110775E+05,2.718066E+04,5.731982E+00,2.663689E+00
22:15:00,1.110783E+05,2.005765E+04,5.732024E+00,1.965638E+00
22:30:00,1.110790E+05,1.315802E+04,5.732059E+00,1.289478E+00
22:45:00,1.110797E+05,6.474727E+03,5.732090E+00,6.345197E-01
23:00:00,1.110802E+05,0.000000E+00,5.732116E+00,0.000000E+00
23:15:00,1.110806E+05,0.000000E+00,5.732140E+00,0.000000E+00
23:30:00,1.110810E+05,0.000000E+00,5.732161E+00,0.000000E+00
23:45:00,1.110814E+05,0.000000E+00,5.732180E+00,0.000000E+00
24:00:00,1.110817E+05,0.000000E+00,5.732197E+00,0.000000E+00
Peak,1.110849E+05,5.061402E+04,5.732359E+00,4.960355E+00

Peak Vol Flow (m3/s),,,4.836216E+00,4.184900E+00
